"","salary","age","elevel","car","zipcode","credit","brand","Age_Level","Age_Brackets"
"1",119806.5448,45,"0","14","4",442037.7113,"Acer",2,"40-60"
"2",106880.4784,63,"1","11","6",45007.17883,"Sony",3,"60+"
"3",78020.75094,23,"0","15","2",48795.32279,"Acer",1,"<40"
"4",63689.93635,51,"3","6","5",40888.87736,"Sony",2,"40-60"
"5",50873.6188,20,"3","14","4",352951.4977,"Acer",1,"<40"
"6",130812.7428,56,"3","14","3",135943.022,"Sony",2,"40-60"
"7",136459.3392,24,"4","8","5",80500.56351,"Sony",1,"<40"
"8",103866.8996,62,"3","3","0",359803.8935,"Sony",3,"60+"
"9",72298.80402,29,"4","17","0",276298.6952,"Acer",1,"<40"
"10",37803.33285,41,"1","5","4",493219.2686,"Sony",2,"40-60"
"11",63704.26156,48,"4","16","5",299460.2274,"Sony",2,"40-60"
"12",128999.9356,52,"1","6","0",152232.5098,"Acer",2,"40-60"
"13",57991.29599,52,"3","20","4",227743.7497,"Sony",2,"40-60"
"14",82474.57645,33,"4","13","3",424657.4967,"Acer",1,"<40"
"15",63988.96981,62,"2","6","3",262136.3065,"Acer",3,"60+"
"16",132310.3604,23,"1","11","4",451927.6024,"Sony",1,"<40"
"17",113236.3836,24,"2","7","7",198381.8984,"Sony",1,"<40"
"18",120525.5994,57,"1","6","2",15964.6837,"Acer",2,"40-60"
"19",121457.6349,50,"2","2","8",415359.2324,"Acer",2,"40-60"
"20",89740.99923,77,"0","18","2",195091.9259,"Sony",3,"60+"
"21",95142.1181,44,"0","2","8",89818.29461,"Acer",2,"40-60"
"22",87383.95734,80,"3","7","5",243166.6117,"Sony",3,"60+"
"23",21143.94206,64,"2","11","2",296635.2507,"Sony",3,"60+"
"24",34581.64726,55,"0","15","6",185603.2507,"Sony",2,"40-60"
"25",37200.74208,32,"3","9","6",168547.0761,"Sony",1,"<40"
"26",60305.50057,58,"1","4","4",469719.5006,"Sony",2,"40-60"
"27",32839.41644,30,"4","20","1",177224.3626,"Sony",1,"<40"
"28",45070.50666,48,"3","1","5",360446.3909,"Sony",2,"40-60"
"29",92417.81235,43,"0","2","0",22677.44642,"Acer",2,"40-60"
"30",107710.3192,75,"0","16","2",209002.4065,"Sony",3,"60+"
"31",148495.4447,62,"2","9","1",377495.2951,"Sony",3,"60+"
"32",78238.12041,70,"3","8","0",80432.57726,"Acer",3,"60+"
"33",97736.75249,21,"1","1","2",76882.24568,"Sony",1,"<40"
"34",91315.19507,57,"3","16","6",267350.9575,"Acer",2,"40-60"
"35",125452.1207,42,"3","14","1",417529.833,"Sony",2,"40-60"
"36",38579.20533,44,"2","10","3",84260.2812,"Sony",2,"40-60"
"37",38043.11147,52,"2","2","3",210004.5866,"Sony",2,"40-60"
"38",49692.09674,42,"4","8","2",462826.1495,"Sony",2,"40-60"
"39",101454.6305,26,"0","18","2",22960.79969,"Acer",1,"<40"
"40",123266.0939,45,"0","17","3",0,"Acer",2,"40-60"
"41",108356.0675,26,"0","9","0",193313.0143,"Sony",1,"<40"
"42",145227.4387,51,"1","5","3",436186.7925,"Sony",2,"40-60"
"43",47038.66895,37,"4","11","4",26372.01677,"Sony",1,"<40"
"44",90380.44913,28,"2","17","0",0,"Acer",1,"<40"
"45",87634.04855,59,"2","5","6",206711.9404,"Sony",2,"40-60"
"46",132209.9161,68,"2","4","6",417555.6048,"Sony",3,"60+"
"47",74868.80467,71,"1","7","5",176808.022,"Acer",3,"60+"
"48",75014.31541,72,"3","18","3",296145.2233,"Sony",3,"60+"
"49",97986.02981,69,"2","5","5",247553.2448,"Sony",3,"60+"
"50",76687.00712,41,"0","4","3",405797.2386,"Acer",2,"40-60"
"51",36679.32036,35,"4","12","1",15727.3963,"Sony",1,"<40"
"52",87572.47168,43,"1","12","4",68500.989,"Acer",2,"40-60"
"53",125796.5011,57,"0","15","7",323423.7621,"Acer",2,"40-60"
"54",110027.6772,52,"0","16","4",386734.4386,"Acer",2,"40-60"
"55",81015.25683,63,"0","7","7",250036,"Sony",3,"60+"
"56",88405.44247,36,"4","8","7",195042.678,"Acer",1,"<40"
"57",79709.08819,51,"2","3","1",291992.4442,"Acer",2,"40-60"
"58",116982.1324,42,"0","5","6",250699.3393,"Acer",2,"40-60"
"59",36761.19167,32,"2","6","2",114826.0399,"Sony",1,"<40"
"60",101996.8511,33,"0","8","2",276545.1894,"Acer",1,"<40"
"61",30991.66107,75,"1","18","4",307978.644,"Acer",3,"60+"
"62",137871.8319,24,"0","17","5",115781.5242,"Sony",1,"<40"
"63",83185.07469,62,"4","2","8",163108.4384,"Sony",3,"60+"
"64",31430.23788,47,"4","10","2",177297.7198,"Sony",2,"40-60"
"65",50883.13139,72,"1","18","6",259957.0146,"Acer",3,"60+"
"66",63708.35087,31,"0","18","6",129263.3169,"Acer",1,"<40"
"67",66431.46169,79,"1","20","6",388763.2145,"Acer",3,"60+"
"68",145409.6872,22,"1","16","3",393137.5146,"Sony",1,"<40"
"69",79448.80903,42,"2","5","2",62604.36209,"Acer",2,"40-60"
"70",131957.8134,65,"4","11","1",238253.0074,"Sony",3,"60+"
"71",91708.59748,44,"4","9","5",396255.5288,"Acer",2,"40-60"
"72",150000,46,"4","1","8",313158.5103,"Sony",2,"40-60"
"73",109505.1253,61,"2","10","3",68952.84297,"Acer",3,"60+"
"74",131927.7112,63,"1","8","1",424565.9627,"Sony",3,"60+"
"75",110539.0599,64,"4","11","6",257476.5904,"Sony",3,"60+"
"76",133162.3653,69,"0","7","8",413996.4766,"Sony",3,"60+"
"77",140352.0096,75,"2","15","4",339276.6955,"Sony",3,"60+"
"78",85161.21816,64,"2","14","5",36491.25654,"Sony",3,"60+"
"79",42954.52214,64,"0","13","0",463502.2803,"Acer",3,"60+"
"80",143756.6798,54,"1","13","2",88560.27002,"Sony",2,"40-60"
"81",137368.9441,57,"4","12","8",415156.2822,"Sony",2,"40-60"
"82",43377.95669,30,"0","6","2",190336.1605,"Sony",1,"<40"
"83",85919.98579,75,"3","7","1",43412.86628,"Sony",3,"60+"
"84",147788.4085,30,"1","5","2",131963.4556,"Sony",1,"<40"
"85",66923.38974,73,"4","11","1",266925.7954,"Acer",3,"60+"
"86",144289.5569,31,"4","7","7",113120.0512,"Sony",1,"<40"
"87",91947.70597,73,"0","12","6",237813.5768,"Sony",3,"60+"
"88",96785.84648,52,"4","19","5",148748.7091,"Acer",2,"40-60"
"89",47399.23601,21,"4","2","3",362188.0274,"Sony",1,"<40"
"90",42158.55331,53,"1","3","6",121961.5697,"Sony",2,"40-60"
"91",56740.9202,66,"2","18","6",144605.2693,"Acer",3,"60+"
"92",101076.8581,22,"0","6","1",268532.5642,"Sony",1,"<40"
"93",37854.62392,59,"0","9","0",496484.7927,"Sony",2,"40-60"
"94",104524.7856,75,"3","9","3",252602.3268,"Sony",3,"60+"
"95",51053.51946,30,"0","15","5",88354.59118,"Acer",1,"<40"
"96",46822.50581,29,"2","7","8",414381.2016,"Acer",1,"<40"
"97",34759.47997,58,"4","16","1",396818.5906,"Sony",2,"40-60"
"98",141628.0388,75,"2","18","3",326686.0247,"Sony",3,"60+"
"99",59628.93628,36,"4","12","7",290262.5533,"Acer",1,"<40"
"100",78358.97271,76,"3","10","7",365827.7418,"Sony",3,"60+"
"101",26963.8117,35,"1","8","5",266219.8571,"Sony",1,"<40"
"102",116112.6737,26,"4","19","7",404450.4455,"Sony",1,"<40"
"103",83246.06241,73,"3","13","2",252877.311,"Sony",3,"60+"
"104",130659.3274,29,"0","15","0",271194.6055,"Sony",1,"<40"
"105",47868.26996,41,"2","14","3",36230.61235,"Sony",2,"40-60"
"106",96033.56517,57,"1","14","6",482692.673,"Acer",2,"40-60"
"107",31392.28755,24,"1","1","7",491295.7244,"Sony",1,"<40"
"108",69737.79123,61,"2","16","6",348396.9512,"Acer",3,"60+"
"109",27102.74327,46,"0","16","2",293842.1544,"Sony",2,"40-60"
"110",23654.64631,76,"0","14","1",460399.5189,"Sony",3,"60+"
"111",138560.6316,62,"4","18","0",81219.09461,"Sony",3,"60+"
"112",84730.79371,61,"4","16","6",190860.2432,"Sony",3,"60+"
"113",138221.6411,45,"2","7","4",219282.5017,"Sony",2,"40-60"
"114",80798.43468,47,"2","11","5",390780.3539,"Acer",2,"40-60"
"115",129050.4786,77,"4","10","4",481644.6779,"Sony",3,"60+"
"116",96839.44554,53,"1","18","4",393853.3631,"Acer",2,"40-60"
"117",116080.6148,65,"3","19","8",70909.89901,"Sony",3,"60+"
"118",100820.0127,70,"4","4","6",463076.2302,"Sony",3,"60+"
"119",129274.9851,29,"2","12","0",98820.08272,"Sony",1,"<40"
"120",102307.338,77,"0","3","1",305063.1696,"Sony",3,"60+"
"121",112471.3817,24,"1","2","2",318564.8699,"Sony",1,"<40"
"122",48880.22734,38,"2","9","4",376145.7739,"Sony",1,"<40"
"123",80460.46303,21,"4","2","7",180388.1352,"Acer",1,"<40"
"124",43727.80569,43,"3","19","1",199837.2545,"Sony",2,"40-60"
"125",134832.8799,44,"3","10","6",387388.682,"Sony",2,"40-60"
"126",89282.60355,55,"3","14","4",245925.2087,"Acer",2,"40-60"
"127",117663.2622,70,"1","5","0",291348.255,"Sony",3,"60+"
"128",117036.9001,34,"3","3","2",114259.2543,"Sony",1,"<40"
"129",103561.6649,38,"3","4","7",362072.0556,"Sony",1,"<40"
"130",23964.83034,57,"1","17","4",165441.501,"Sony",2,"40-60"
"131",53452.1516,32,"1","20","2",24755.74467,"Acer",1,"<40"
"132",134663.8237,51,"1","2","1",476990.3625,"Sony",2,"40-60"
"133",27705.55768,41,"4","16","5",213908.7984,"Sony",2,"40-60"
"134",68420.3845,26,"4","14","2",485034.8151,"Acer",1,"<40"
"135",83499.84104,78,"4","19","3",211182.218,"Sony",3,"60+"
"136",45257.89254,40,"2","11","4",374850.8742,"Sony",2,"40-60"
"137",22083.3418,52,"1","14","7",87643.63816,"Sony",2,"40-60"
"138",115221.605,42,"3","12","8",460387.283,"Acer",2,"40-60"
"139",84020.68676,72,"4","11","4",334105.9909,"Sony",3,"60+"
"140",109830.1691,24,"1","9","8",144156.9785,"Sony",1,"<40"
"141",140784.7192,60,"4","3","4",485468.1685,"Sony",3,"60+"
"142",104363.634,29,"2","15","8",71762.09863,"Sony",1,"<40"
"143",58089.91395,45,"2","9","5",460439.3142,"Sony",2,"40-60"
"144",138483.5089,34,"4","17","7",158932.9768,"Sony",1,"<40"
"145",27228.80043,39,"0","19","1",365463.041,"Sony",1,"<40"
"146",120233.0347,70,"2","16","8",91005.91966,"Sony",3,"60+"
"147",137794.6133,24,"0","13","2",216481.9042,"Sony",1,"<40"
"148",33466.40514,74,"4","20","6",123852.0306,"Acer",3,"60+"
"149",26386.96058,52,"1","3","2",93758.19955,"Sony",2,"40-60"
"150",125116.9682,32,"3","15","0",290177.4608,"Sony",1,"<40"
"151",111872.7192,41,"0","8","1",13674.56176,"Acer",2,"40-60"
"152",55982.03847,60,"3","2","1",50869.17995,"Acer",3,"60+"
"153",133279.7834,41,"2","15","6",260987.137,"Sony",2,"40-60"
